"Period","Metric","Value","Unit"
"Training","Mean Error",0.00127609321963791,"$"
"Training","Mean Absolute Error",0.121209123539495,"$"
"Training","Root Mean Square Error",0.172393123571673,"$"
"Training","Mean Absolute Percentage Error",4.76595845585567,"%"
"Validation","Mean Error",0.818823448350842,"$"
"Validation","Mean Absolute Error",0.818823448350842,"$"
"Validation","Root Mean Square Error",0.939117499956737,"$"
"Validation","Mean Absolute Percentage Error",22.072958875394,"%"
