Month,Forecast,Lower_95,Upper_95
Feb 2025,4.855449546348407,4.4775196698035735,5.23337942289324
Mar 2025,4.6972942608071735,4.162820703771481,5.231767817842866
Apr 2025,4.642000021672893,3.987406273799009,5.296593769546778
May 2025,4.48734291869632,3.7314831656066536,5.243202671785986
Jun 2025,4.397035516198403,3.551958621516053,5.242112410880753
Jul 2025,4.389307441575456,3.4635720854875744,5.315042797663337
Aug 2025,4.375054804247747,3.3751463378887756,5.3749632706067185
Sep 2025,4.431630435648055,3.36268332157667,5.50057754971944
Oct 2025,4.379490304342964,3.2457006747084645,5.513279933977463
Nov 2025,4.415060137157853,3.219940931449933,5.610179342865772
Dec 2025,4.506882269088154,3.253430671523604,5.760333866652703
Jan 2026,4.541696323957166,3.2325088282093972,5.850883819704935
